pos,neg,p_count,n_count
positive,negative,0,0
positive,negative,0,0
positive,negative,0,0
positive,negative,0,0
positive,negative,0,1
positive,negative,0,1
positive,negative,1,1
positive,negative,1,1
positive,negative,1,1
positive,negative,1,2
positive,negative,2,2
positive,negative,2,3
positive,negative,2,3
positive,negative,2,3
positive,negative,2,3
positive,negative,2,3
positive,negative,2,3
positive,negative,2,3
positive,negative,2,3
positive,negative,2,4
positive,negative,2,4
positive,negative,3,4
positive,negative,3,4
positive,negative,3,4
positive,negative,3,5
positive,negative,4,5
positive,negative,4,6
positive,negative,4,6
positive,negative,4,6
positive,negative,4,6
positive,negative,4,6
positive,negative,4,6
positive,negative,4,6
positive,negative,4,6
positive,negative,4,7
positive,negative,4,7
positive,negative,5,7
positive,negative,5,7
positive,negative,5,7
positive,negative,5,8
positive,negative,6,8
positive,negative,6,9
positive,negative,6,9
positive,negative,6,9
positive,negative,6,9
positive,negative,6,9
positive,negative,6,9
positive,negative,6,9
positive,negative,6,9
positive,negative,6,10
positive,negative,6,10
positive,negative,7,10
